Player,Season,Split,Tm,Team_MP,Team_eFG%,Team_ORB%,Team_DRB%,Team_TRB%,Team_AST%,Team_STL%,Team_BLK%,Team_TOV%,Team_ORtg,Opp_eFG%,Opp_ORB%,Opp_DRB%,Opp_TRB%,Opp_AST%,Opp_STL%,Opp_BLK%,Opp_TOV%,Opp_ORtg,Diff_eFG%,Diff_ORB%,Diff_DRB%,Diff_TRB%,Diff_AST%,Diff_STL%,Diff_BLK%,Diff_TOV%,Diff_ORtg
Kevin Durant,2014,On Court,OKC,907,0.504,28.4,76.6,53.6,58.2,8.3,10.2,15.2,110.8,0.473,23.4,71.6,46.4,58.7,9,6.9,14.9,101.9,0.031,5,5,7.2,-0.4,-0.8,3.3,0.4,8.8
Kevin Durant,2014,Off Court,OKC,3040,0.488,29.1,75.3,52.4,51.1,7.4,8.6,15.1,106.6,0.494,24.7,70.9,47.6,58.9,7.8,7.2,13.9,106.6,-0.006,4.4,4.4,4.8,-7.8,-0.5,1.4,1.2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,2015,On Court,OKC,2566,0.54,30.9,75.6,55.3,58.1,7.5,9.9,15.9,116.2,0.475,24.4,69.1,44.7,55.6,9.1,6.8,12.9,104.6,0.066,6.5,6.5,10.6,2.5,-1.7,3.1,3,11.5
Kevin Durant,2015,Off Court,OKC,1381,0.494,31.4,76.6,53.7,51.3,7.7,8.1,17.2,106.8,0.503,23.4,68.6,46.3,57.1,8.7,8.1,14.4,107.8,-0.01,8,8,7.4,-5.8,-0.9,0,2.8,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,2016,On Court,GSW,2062,0.584,20.9,76.4,51.1,70.2,9.4,10.8,14,120.2,0.486,23.6,79.1,48.9,57.6,8.3,6.7,14.9,104.4,0.098,-2.7,-2.7,2.3,12.6,1.2,4.1,-0.9,15.8
Kevin Durant,2016,Off Court,GSW,1877,0.541,25,73.2,49.9,70.7,9.7,11.2,15.8,111.2,0.485,26.8,75,50.1,59.4,9.1,7.1,16.3,104.1,0.056,-1.8,-1.8,-0.1,11.4,0.7,4.2,-0.5,7.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Durant,2017,On Court,GSW,2312,0.586,21.5,75.1,50.5,68,7.7,11.8,15.6,117.6,0.511,24.9,78.5,49.5,58,9.1,6.7,13.9,110.6,0.076,-3.4,-3.4,1,10,-1.4,5.1,1.6,7
Kevin Durant,2017,Off Court,GSW,1603,0.544,20.6,78,50.8,69.2,8.6,12.9,15.6,109.5,0.496,22,79.4,49.2,59.8,8.4,6.2,15.1,104.4,0.048,-1.4,-1.4,1.6,9.4,0.2,6.7,0.5,5.1
